image name,what we did with it
ae8da37a-ce5d-11eb-b317-38f9d35ea60f.png,delete
ae96c6da-ce5d-11eb-b317-38f9d35ea60f.png,delete
ae906772-ce5d-11eb-b317-38f9d35ea60f.png,delete
aea51e88-ce5d-11eb-b317-38f9d35ea60f.png,delete
aeb1e50a-ce5d-11eb-b317-38f9d35ea60f.png,delete
aeba70da-ce5d-11eb-b317-38f9d35ea60f.png,delete
aec595aa-ce5d-11eb-b317-38f9d35ea60f.png,delete
aed0b9b2-ce5d-11eb-b317-38f9d35ea60f.png,delete
aedc86ac-ce5d-11eb-b317-38f9d35ea60f.png,delete
aee14818-ce5d-11eb-b317-38f9d35ea60f.png,delete
aee49716-ce5d-11eb-b317-38f9d35ea60f.png,delete
aee98348-ce5d-11eb-b317-38f9d35ea60f.png,delete
af0f452e-ce5d-11eb-b317-38f9d35ea60f.png,delete
aeb08eb2-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aeb3d252-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aec04e56-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aecd5c68-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aed59888-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aee2e916-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aee9fdd2-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aeec3dea-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aef7ab9e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
af0baa7c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
af03e260-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
af010004-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aebd296a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
aeef5a98-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
aec401ea-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
af047216-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
aef66fcc-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af0087a0-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
aefd90f4-ce5d-11eb-b317-38f9d35ea60f.png,used as label - i
af0cd44c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
abab984c-ce5d-11eb-b317-38f9d35ea60f.png,delete
abe3a16a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - i
ac3db31c-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac3e7324-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac4f0d92-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac5baeb2-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac18fb9e-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac64aa4e-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac59f5b8-ce5d-11eb-b317-38f9d35ea60f.png,used as label - i
ac328dd4-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac315d6a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ac156ed4-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
ac268e44-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
ac3396a2-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab5ba788-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
ab4ce810-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab5d949e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
ab6ae5cc-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
ab48e396-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
ab58d33c-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab75cd48-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab526a6a-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab713f76-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
ab846bbe-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
ab6581d6-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
ab327264-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vi
b0a3ee30-ce5d-11eb-b317-38f9d35ea60f.png,delete
aa8ae80a-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0a8e61a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b0a13faa-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vi
b0a28068-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0b3a50a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b0b50846-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0dbd0d4-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0dafcb8-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0dff042-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0ef7d32-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0f43eee-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b0f00afe-ce5d-11eb-b317-38f9d35ea60f.png,delete
b03b3520-ce5d-11eb-b317-38f9d35ea60f.png,delete
b03bc6ca-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b04d17c2-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
b03fdcec-ce5d-11eb-b317-38f9d35ea60f.png,delete
b03f55c4-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
